snapshot_month,reference,family,msrp_usd,avg_median_price_usd,avg_listing_count,avg_markup_pct,ad_count_us,ad_count_mom_change,avg_price_mom_change_pct
2022-11-01,124060,Submariner,9100,14279.5,216.0,59.55,308,0,-0.13
2022-11-01,124270,Explorer,7250,9797.88,132.5,36.08,308,0,0.59
2022-11-01,124300,Oyster Perpetual,6400,12549.62,576.75,104.06,308,0,-4.46
2022-11-01,126610LN,Submariner Date,10250,15881.12,327.0,57.24,308,0,-0.42
2022-11-01,126610LV,Submariner Date,10800,19910.5,348.75,87.83,308,0,-2.2
2022-11-01,126710BLNR,GMT-Master II,10900,20691.75,466.5,92.48,308,0,-0.37
2022-11-01,126710BLRO,GMT-Master II,10900,23473.25,446.0,118.36,308,0,-1.15
2022-11-01,126711CHNR,GMT-Master II,16150,23592.0,249.25,54.7,308,0,-1.33
2022-11-01,226570,Explorer II,9650,13487.5,222.25,41.97,308,0,-1.6
2022-12-01,116500LN,Daytona,14800,35818.4,523.0,146.17,308,0,-1.11
2022-12-01,124060,Submariner,9100,14492.8,226.8,61.93,308,0,1.49
2022-12-01,124270,Explorer,7250,9808.6,132.8,36.23,308,0,0.11
2022-12-01,124300,Oyster Perpetual,6400,12358.1,581.2,100.94,308,0,-1.53
2022-12-01,126610LN,Submariner Date,10250,16121.1,342.0,59.61,308,0,1.51
2022-12-01,126610LV,Submariner Date,10800,19804.9,355.4,86.84,308,0,-0.53
2022-12-01,126710BLNR,GMT-Master II,10900,20676.6,484.0,92.34,308,0,-0.07
2022-12-01,126710BLRO,GMT-Master II,10900,23405.0,459.8,117.72,308,0,-0.29
2022-12-01,126711CHNR,GMT-Master II,16150,23699.6,255.4,55.41,308,0,0.46
2022-12-01,226570,Explorer II,9650,13510.8,234.2,42.22,308,0,0.17
2023-01-01,116500LN,Daytona,14800,35296.25,501.0,142.59,310,2,-1.46
2023-01-01,124060,Submariner,9100,14574.38,224.5,62.84,310,2,0.56
2023-01-01,124270,Explorer,7250,9926.75,132.5,37.87,310,2,1.2
2023-01-01,124300,Oyster Perpetual,6400,12154.38,584.5,97.63,310,2,-1.65
2023-01-01,126610LN,Submariner Date,10250,16103.88,336.75,59.44,310,2,-0.11
2023-01-01,126610LV,Submariner Date,10800,19542.5,350.25,84.36,310,2,-1.32
2023-01-01,126622,Yacht-Master,12300,17126.5,268.25,38.68,310,2,
2023-01-01,126710BLNR,GMT-Master II,10900,20534.75,487.75,91.02,310,2,-0.69
2023-01-01,126710BLRO,GMT-Master II,10900,23231.88,453.5,116.11,310,2,-0.74
2023-01-01,126711CHNR,GMT-Master II,16150,23599.38,241.75,54.75,310,2,-0.42
2023-01-01,126720VTNR,GMT-Master II,11450,27818.25,207.75,147.27,310,2,
2023-01-01,226570,Explorer II,9650,13599.0,228.0,43.15,310,2,0.65
2023-02-01,116500LN,Daytona,14800,35313.62,460.0,138.61,303,-7,0.05
2023-02-01,124060,Submariner,9100,14442.12,230.75,58.7,303,-7,-0.91
2023-02-01,124270,Explorer,7250,9879.0,134.5,36.26,303,-7,-0.48
2023-02-01,124300,Oyster Perpetual,6400,11698.88,579.5,82.79,303,-7,-3.75
2023-02-01,126610LN,Submariner Date,10250,16002.88,306.25,56.13,303,-7,-0.63
2023-02-01,126610LV,Submariner Date,10800,19299.5,343.5,78.7,303,-7,-1.24
2023-02-01,126622,Yacht-Master,12300,17071.12,262.25,38.79,303,-7,-0.32
2023-02-01,126710BLNR,GMT-Master II,10900,20365.0,463.75,86.83,303,-7,-0.83
2023-02-01,126710BLRO,GMT-Master II,10900,23163.38,436.0,112.51,303,-7,-0.29
2023-02-01,126711CHNR,GMT-Master II,16150,23513.38,234.0,45.59,303,-7,-0.36
2023-02-01,126720VTNR,GMT-Master II,11450,27485.75,218.5,140.05,303,-7,-1.2
2023-02-01,226570,Explorer II,9650,13670.5,231.0,41.66,303,-7,0.53
2023-03-01,116500LN,Daytona,14800,36157.1,412.8,144.3,301,-2,2.39
2023-03-01,124060,Submariner,9100,14260.0,233.0,56.7,301,-2,-1.26
2023-03-01,124270,Explorer,7250,9841.5,131.6,35.74,301,-2,-0.38
2023-03-01,124300,Oyster Perpetual,6400,11587.2,577.2,81.05,301,-2,-0.95
2023-03-01,126610LN,Submariner Date,10250,15969.9,301.4,55.8,301,-2,-0.21
2023-03-01,126610LV,Submariner Date,10800,19068.2,327.6,76.56,301,-2,-1.2
2023-03-01,126622,Yacht-Master,12300,17002.3,262.6,38.23,301,-2,-0.4
2023-03-01,126710BLNR,GMT-Master II,10900,20107.5,469.8,84.47,301,-2,-1.26
2023-03-01,126710BLRO,GMT-Master II,10900,23169.5,422.0,112.56,301,-2,0.03
2023-03-01,126711CHNR,GMT-Master II,16150,23467.1,238.2,45.31,301,-2,-0.2
2023-03-01,126720VTNR,GMT-Master II,11450,27321.4,218.6,138.61,301,-2,-0.6
2023-03-01,226570,Explorer II,9650,13606.4,234.4,41.0,301,-2,-0.47
2023-04-01,116500LN,Daytona,14800,37802.25,391.0,155.42,298,-3,4.55
2023-04-01,124060,Submariner,9100,14495.62,249.0,59.29,298,-3,1.65
2023-04-01,124270,Explorer,7250,10000.88,133.25,37.94,298,-3,1.62
2023-04-01,124300,Oyster Perpetual,6400,11558.25,579.25,80.6,298,-3,-0.25
2023-04-01,126610LN,Submariner Date,10250,16239.62,304.5,58.44,298,-3,1.69
2023-04-01,126610LV,Submariner Date,10800,19188.12,339.0,77.67,298,-3,0.63
2023-04-01,126622,Yacht-Master,12300,17220.5,271.5,40.0,298,-3,1.28
2023-04-01,126710BLNR,GMT-Master II,10900,20369.25,495.25,86.87,298,-3,1.3
2023-04-01,126710BLRO,GMT-Master II,10900,23551.25,416.5,116.07,298,-3,1.65
