snapshot_month,reference,family,msrp_usd,avg_median_price_usd,avg_listing_count,avg_markup_pct,ad_count_us,ad_count_mom_change,avg_price_mom_change_pct
2023-12-01,124060,Submariner,9100,13769.1,266.2,51.31,,,0.95
2023-12-01,124270,Explorer,7250,9444.5,132.8,30.27,,,0.77
2023-12-01,124300,Oyster Perpetual,6400,10827.2,533.4,69.17,,,-0.84
2023-12-01,126610LN,Submariner Date,10250,15488.8,410.8,51.11,,,1.81
2023-12-01,126610LV,Submariner Date,10800,17668.0,355.2,63.59,,,-0.33
2023-12-01,126622,Yacht-Master,12300,16344.4,261.6,32.88,,,1.04
2023-12-01,126710BLNR,GMT-Master II,10900,18745.9,486.2,71.98,,,1.67
2023-12-01,126710BLRO,GMT-Master II,10900,23093.4,303.0,111.87,,,2.47
2023-12-01,126711CHNR,GMT-Master II,16150,22318.2,282.6,38.19,,,0.77
2023-12-01,126720VTNR,GMT-Master II,11450,21796.3,406.4,90.36,,,-1.49
2023-12-01,226570,Explorer II,9650,12921.1,302.0,33.9,,,0.1
2024-01-01,116500LN,Daytona,14800,33220.88,431.0,124.47,,,-0.75
2024-01-01,124060,Submariner,9100,13776.5,242.75,51.39,,,0.05
2024-01-01,124270,Explorer,7250,9442.0,120.75,30.23,,,-0.03
2024-01-01,124300,Oyster Perpetual,6400,10718.38,550.75,67.47,,,-1.01
2024-01-01,126610LN,Submariner Date,10250,15475.5,387.0,50.98,,,-0.09
2024-01-01,126610LV,Submariner Date,10800,17568.62,397.0,62.67,,,-0.56
2024-01-01,126622,Yacht-Master,12300,16360.12,259.5,33.01,,,0.1
2024-01-01,126710BLNR,GMT-Master II,10900,18873.62,498.25,73.15,,,0.68
2024-01-01,126710BLRO,GMT-Master II,10900,23689.0,277.5,117.33,,,2.58
2024-01-01,126711CHNR,GMT-Master II,16150,22151.0,265.0,37.16,,,-0.75
2024-01-01,126720VTNR,GMT-Master II,11450,21484.62,436.0,87.64,,,-1.43
2024-01-01,226570,Explorer II,9650,12901.75,252.0,33.7,,,-0.15
2024-02-01,116500LN,Daytona,14800,33028.12,448.25,123.16,,,-0.58
2024-02-01,124060,Submariner,9100,13589.12,260.5,49.33,,,-1.36
2024-02-01,124270,Explorer,7250,9394.62,122.5,29.58,,,-0.5
2024-02-01,124300,Oyster Perpetual,6400,10687.5,580.75,66.99,,,-0.29
2024-02-01,126610LN,Submariner Date,10250,15421.25,352.5,50.45,,,-0.35
2024-02-01,126610LV,Submariner Date,10800,17353.38,395.25,60.68,,,-1.23
2024-02-01,126622,Yacht-Master,12300,16128.88,225.75,31.13,,,-1.41
2024-02-01,126710BLNR,GMT-Master II,10900,18766.75,493.75,72.17,,,-0.57
2024-02-01,126710BLRO,GMT-Master II,10900,24151.12,263.75,121.57,,,1.95
