snapshot_month,state,dealer_count
2022-04-01,Pennsylvania,15
2022-04-01,Rhode Island,1
2022-04-01,South Carolina,5
2022-04-01,Tennessee,5
2022-04-01,Texas,26
2022-04-01,Utah,2
2022-04-01,Vermont,1
2022-04-01,Virginia,9
2022-04-01,Washington,5
2022-04-01,Wisconsin,4
2022-05-01,Alabama,3
2022-05-01,Alaska,1
2022-05-01,Arizona,5
2022-05-01,Arkansas,4
2022-05-01,California,35
2022-05-01,Colorado,6
2022-05-01,Columbia,1
2022-05-01,Connecticut,7
2022-05-01,Delaware,1
2022-05-01,Florida,28
2022-05-01,Georgia,6
2022-05-01,Hawaii,5
2022-05-01,Idaho,1
2022-05-01,Illinois,14
2022-05-01,Indiana,4
2022-05-01,Iowa,2
2022-05-01,Kansas,1
2022-05-01,Kentucky,2
2022-05-01,Louisiana,10
2022-05-01,Maine,1
2022-05-01,Maryland,3
2022-05-01,Massachusetts,7
2022-05-01,Michigan,10
2022-05-01,Minnesota,6
2022-05-01,Mississippi,2
2022-05-01,Missouri,6
2022-05-01,Montana,1
2022-05-01,Nebraska,1
2022-05-01,Nevada,7
2022-05-01,New Hampshire,2
2022-05-01,New Jersey,10
2022-05-01,New Mexico,1
2022-05-01,New York,22
2022-05-01,North Carolina,9
2022-05-01,North Dakota,1
2022-05-01,Ohio,9
2022-05-01,Oklahoma,5
2022-05-01,Oregon,5
2022-05-01,Pennsylvania,15
2022-05-01,Rhode Island,1
2022-05-01,South Carolina,5
2022-05-01,Tennessee,5
2022-05-01,Texas,26
2022-05-01,Utah,2
2022-05-01,Vermont,1
2022-05-01,Virginia,9
2022-05-01,Washington,5
2022-05-01,Wisconsin,4
2022-06-01,Alabama,3
2022-06-01,Alaska,1
2022-06-01,Arizona,5
2022-06-01,Arkansas,4
2022-06-01,California,35
2022-06-01,Colorado,6
2022-06-01,Columbia,1
2022-06-01,Connecticut,7
2022-06-01,Delaware,1
2022-06-01,Florida,28
2022-06-01,Georgia,6
2022-06-01,Hawaii,4
2022-06-01,Idaho,1
2022-06-01,Illinois,14
2022-06-01,Indiana,4
2022-06-01,Iowa,2
2022-06-01,Kansas,1
2022-06-01,Kentucky,2
2022-06-01,Louisiana,10
2022-06-01,Maine,1
2022-06-01,Maryland,3
2022-06-01,Massachusetts,7
2022-06-01,Michigan,10
2022-06-01,Minnesota,6
2022-06-01,Mississippi,2
2022-06-01,Missouri,6
2022-06-01,Montana,1
2022-06-01,Nebraska,1
2022-06-01,Nevada,7
2022-06-01,New Hampshire,2
2022-06-01,New Jersey,10
2022-06-01,New Mexico,1
2022-06-01,New York,22
2022-06-01,North Carolina,9
2022-06-01,North Dakota,1
2022-06-01,Ohio,9
2022-06-01,Oklahoma,5
2022-06-01,Oregon,5
2022-06-01,Pennsylvania,15
2022-06-01,Rhode Island,1
2022-06-01,South Carolina,5
2022-06-01,Tennessee,5
2022-06-01,Texas,26
2022-06-01,Utah,2
2022-06-01,Vermont,1
2022-06-01,Virginia,9
2022-06-01,Washington,5
2022-06-01,Wisconsin,4
2022-07-01,Alabama,3
2022-07-01,Alaska,1
2022-07-01,Arizona,5
2022-07-01,Arkansas,4
2022-07-01,California,35
2022-07-01,Colorado,6
2022-07-01,Columbia,1
2022-07-01,Connecticut,7
2022-07-01,Delaware,1
2022-07-01,Florida,27
2022-07-01,Georgia,6
2022-07-01,Hawaii,4
2022-07-01,Idaho,1
2022-07-01,Illinois,14
2022-07-01,Indiana,4
2022-07-01,Iowa,2
2022-07-01,Kansas,1
2022-07-01,Kentucky,2
2022-07-01,Louisiana,10
2022-07-01,Maine,1
2022-07-01,Maryland,3
2022-07-01,Massachusetts,7
2022-07-01,Michigan,10
2022-07-01,Minnesota,6
2022-07-01,Mississippi,2
2022-07-01,Missouri,6
2022-07-01,Montana,1
2022-07-01,Nebraska,1
2022-07-01,Nevada,6
2022-07-01,New Hampshire,2
2022-07-01,New Jersey,9
2022-07-01,New Mexico,1
2022-07-01,New York,22
2022-07-01,North Carolina,9
2022-07-01,North Dakota,1
2022-07-01,Ohio,9
2022-07-01,Oklahoma,5
2022-07-01,Oregon,5
2022-07-01,Pennsylvania,15
2022-07-01,Rhode Island,1
2022-07-01,South Carolina,5
2022-07-01,Tennessee,5
2022-07-01,Texas,27
2022-07-01,Utah,2
2022-07-01,Vermont,1
2022-07-01,Virginia,9
2022-07-01,Washington,5
2022-07-01,Wisconsin,4
2022-08-01,Alabama,3
2022-08-01,Alaska,1
2022-08-01,Arizona,5
2022-08-01,Arkansas,4
2022-08-01,California,35
2022-08-01,Colorado,6
2022-08-01,Columbia,1
2022-08-01,Connecticut,7
2022-08-01,Delaware,1
2022-08-01,Florida,27
2022-08-01,Georgia,6
2022-08-01,Hawaii,5
2022-08-01,Idaho,1
2022-08-01,Illinois,13
2022-08-01,Indiana,4
2022-08-01,Iowa,2
2022-08-01,Kansas,1
2022-08-01,Kentucky,2
2022-08-01,Louisiana,10
2022-08-01,Maine,1
2022-08-01,Maryland,3
2022-08-01,Massachusetts,7
2022-08-01,Michigan,10
2022-08-01,Minnesota,6
2022-08-01,Mississippi,2
2022-08-01,Missouri,6
2022-08-01,Montana,1
2022-08-01,Nebraska,1
2022-08-01,Nevada,6
2022-08-01,New Hampshire,2
2022-08-01,New Jersey,10
2022-08-01,New Mexico,1
2022-08-01,New York,22
2022-08-01,North Carolina,9
2022-08-01,North Dakota,1
2022-08-01,Ohio,9
2022-08-01,Oklahoma,5
2022-08-01,Oregon,5
2022-08-01,Pennsylvania,15
2022-08-01,Rhode Island,1
2022-08-01,South Carolina,5
2022-08-01,Tennessee,5
2022-08-01,Texas,27
2022-08-01,Utah,2
2022-08-01,Vermont,1
2022-08-01,Virginia,9
2022-08-01,Washington,5
2022-08-01,Wisconsin,4
2022-09-01,Alabama,3
2022-09-01,Alaska,1
2022-09-01,Arizona,5
2022-09-01,Arkansas,4
2022-09-01,California,35
2022-09-01,Colorado,6
2022-09-01,Columbia,1
2022-09-01,Connecticut,7
2022-09-01,Delaware,1
2022-09-01,Florida,27
2022-09-01,Georgia,6
2022-09-01,Hawaii,5
2022-09-01,Idaho,1
2022-09-01,Illinois,13
2022-09-01,Indiana,4
2022-09-01,Iowa,2
2022-09-01,Kansas,1
2022-09-01,Kentucky,2
2022-09-01,Louisiana,10
2022-09-01,Maine,1
2022-09-01,Maryland,3
2022-09-01,Massachusetts,6
2022-09-01,Michigan,10
